DATA_LOAD_ID,RAW_SRC_PK,RAW_SRC_PK_TYP,RAW_FK,RAW_FK_TYP,PRIMARY_NAME,BUS_NM_TYP
ALL_FDIC_201904,"1,324,832,491",PR_RECORD_ID,5555123457,TRADE_NAME_RECORD_ID,"BANK OF SOCIAL CIRCLE, A DIVISION OF BANK OF MADISON",TRADE_NAME
ALL_FDIC_201904,"1,324,833,253",PR_RECORD_ID,5555123464,TRADE_NAME_RECORD_ID,F&M BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,833,713",PR_RECORD_ID,5555123470,TRADE_NAME_RECORD_ID,PATHWAY FINANCIAL CENTRE,TRADE_NAME
ALL_FDIC_201904,"1,324,833,880",PR_RECORD_ID,5555123473,TRADE_NAME_RECORD_ID,AMEGY BANK OF TEXAS,TRADE_NAME
ALL_FDIC_201904,"1,324,835,180",PR_RECORD_ID,5555123500,TRADE_NAME_RECORD_ID,FIRST NATIONAL BANK OF CROWLEY,TRADE_NAME
ALL_FDIC_201904,"1,324,836,127",PR_RECORD_ID,5555123511,TRADE_NAME_RECORD_ID,CUERO NATIONAL BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,836,490",PR_RECORD_ID,5555123514,TRADE_NAME_RECORD_ID,WEST TENNESSEE BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,836,928",PR_RECORD_ID,5555123516,TRADE_NAME_RECORD_ID,FNBP,TRADE_NAME
ALL_FDIC_201904,"1,324,836,953",PR_RECORD_ID,5555123517,TRADE_NAME_RECORD_ID,NATIONAL BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,837,427",PR_RECORD_ID,5555123521,TRADE_NAME_RECORD_ID,FNB,TRADE_NAME
ALL_FDIC_201904,"1,324,837,446",PR_RECORD_ID,5555123522,TRADE_NAME_RECORD_ID,BNY MELLON,TRADE_NAME
ALL_FDIC_201904,"1,324,840,146",PR_RECORD_ID,5555123553,TRADE_NAME_RECORD_ID,COMMUNITY BANK A DIVISION OF FIRST STATE BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,840,490",PR_RECORD_ID,5555123557,TRADE_NAME_RECORD_ID,PORTER BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,841,160",PR_RECORD_ID,5555123562,TRADE_NAME_RECORD_ID,COUNTY NATIONAL BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,841,243",PR_RECORD_ID,5555123563,TRADE_NAME_RECORD_ID,HOME NATIONAL BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,842,293",PR_RECORD_ID,5555123571,TRADE_NAME_RECORD_ID,STATE BANK OF JEWETT (A DIVISION OF ALLIANCE BANK CENTRAL TEXAS),TRADE_NAME
ALL_FDIC_201904,"1,324,844,034",PR_RECORD_ID,5555123593,TRADE_NAME_RECORD_ID,SSBFERGUS,TRADE_NAME
ALL_FDIC_201904,"1,324,845,498",PR_RECORD_ID,5555123604,TRADE_NAME_RECORD_ID,FM BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,848,857",PR_RECORD_ID,5555123621,TRADE_NAME_RECORD_ID,REPUBLIC BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,850,593",PR_RECORD_ID,5555123636,TRADE_NAME_RECORD_ID,"BIG LAKE BANK, A BRANCH OF TEXAS FINANCIAL BANK",TRADE_NAME
ALL_FDIC_201904,"1,324,858,274",PR_RECORD_ID,5555123682,TRADE_NAME_RECORD_ID,TOWNEBANK OF CURRITUCK,TRADE_NAME
ALL_FDIC_201904,"1,324,858,333",PR_RECORD_ID,5555123683,TRADE_NAME_RECORD_ID,ACCESSNATIONALBANK,TRADE_NAME
ALL_FDIC_201904,"1,324,858,831",PR_RECORD_ID,5555123688,TRADE_NAME_RECORD_ID,MODERN WOODMEN BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,859,090",PR_RECORD_ID,5555123690,TRADE_NAME_RECORD_ID,BEAL BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,833,625",PR_RECORD_ID,5555123469,TRADE_NAME_RECORD_ID,BROTHERHOOD BANK & TRUST,TRADE_NAME
ALL_FDIC_201904,"1,324,834,111",PR_RECORD_ID,5555123475,TRADE_NAME_RECORD_ID,CVNB,TRADE_NAME
ALL_FDIC_201904,"1,324,834,786",PR_RECORD_ID,5555123491,TRADE_NAME_RECORD_ID,NEW HOLLAND BANKING CENTER,TRADE_NAME
ALL_FDIC_201904,"1,324,835,140",PR_RECORD_ID,5555123498,TRADE_NAME_RECORD_ID,FIRST NATIONAL BANK OF GROVE,TRADE_NAME
ALL_FDIC_201904,"1,324,835,150",PR_RECORD_ID,5555123499,TRADE_NAME_RECORD_ID,YNB MUSTANG,TRADE_NAME
ALL_FDIC_201904,"1,324,835,554",PR_RECORD_ID,5555123507,TRADE_NAME_RECORD_ID,THE BANK OF PAWHUSKA,TRADE_NAME
