"NAMEHCR","RSSDHCR","RECORD_ID"
STATE STREET CORPORATION,"0001111435","1,324,832,383"
"AUBURN NATIONAL BANCORPORATION, INC.","0001129533","1,324,832,393"
"RBC, INC.","0002526755","1,324,832,397"
"PHENIX-GIRARD BANCSHARES, INC.","0002013246","1,324,832,399"
"MERCHANTS FINANCIAL SERVICES, INC.","0001082955","1,324,832,403"
"TRADERS & FARMERS BANCSHARES, INC.","0003467305","1,324,832,404"
"INDEPENDENT BANCSHARES, INC. EMPLOYEE STOCK OWNERSHIP PLAN","0003587294","1,324,832,407"
"FIRST VERNON BANCSHARES, INC.","0001139998","1,324,832,408"
"CITIZENS BANCORP OF WINFIELD, INC.","0001833616","1,324,832,409"
"GADSDEN CORPORATION, THE","0001079067","1,324,832,411"
"UNITED BANCORPORATION OF ALABAMA, INC.","0001083895","1,324,832,415"
"PEOPLES EXCHANGE BANCSHARES, INC.","0001138870","1,324,832,426"
CENTRAL STATE BANCORPORATION,"0001084593","1,324,832,428"
BANCSOUTH CORPORATION,"0001084061","1,324,832,433"
"HARRELL BANCSHARES, INC.","0002352196","1,324,832,444"
WHITE RIVER BANCSHARES COMPANY,"0003306589","1,324,832,445"
"DREW BANCSHARES, INC.","0001098198","1,324,832,446"
"RIVERSIDE BANCSHARES, INC","0002155342","1,324,832,449"
"BRADLEY BANCSHARES, INC.","0001097463","1,324,832,450"
"PRESCOTT BANCSHARES, INC","0002236586","1,324,832,457"
"SHARP BANCSHARES, INC.","0001099663","1,324,832,461"
CLARENDON HOLDING CO.,"0001099252","1,324,832,462"
"PIONEER BANCSHARES, INC. OF HORATIO, ARK","0001139091","1,324,832,464"
SEACOAST BANKING CORPORATION OF FLORIDA,"0001085013","1,324,832,475"
"CENTURY BANCORP, INC.","0002043850","1,324,832,490"
MADISON BANK CORP.,"0001135105","1,324,832,491"
"HAZLEHURST INVESTORS, INC.","0003140961","1,324,832,492"
ALAPAHA HOLDING COMPANY,"0003194076","1,324,832,497"
"EXCHANGE BANKSHARES, INC.","0001085862","1,324,832,502"
UNITED BANK CORPORATION,"0001082777","1,324,832,513"
"TCB BANCSHARES, INC.","0001417418","1,324,832,515"
"TSB BANCORP, INC.","0001249020","1,324,832,517"
"HERITAGE BANCORPORATION, INC.","0001086748","1,324,832,531"
ALLIANCE BANCORP,"0001138405","1,324,832,534"
TRI-COUNTY BANCORP.,"0001205286","1,324,832,541"
"W.S.B., INC.","0001207468","1,324,832,545"
"ROG-LEE, INCORPORATED","0001143212","1,324,832,553"
COUNTRY BANCORPORATION,"0001203910","1,324,832,554"
"GUTHRIE COUNTY BANCSHARES, INC.","0001208380","1,324,832,555"
"AMBANK COMPANY, INC.","0001201457","1,324,832,557"
COMMUNITY STATE BANCORPORATION,"0001131424","1,324,832,559"
COMMERCIAL BAN CORP.,"0001132971","1,324,832,560"
"SOLON FINANCIAL, INC.","0001137903","1,324,832,561"
DENTEL BANCORPORATION,"0001133615","1,324,832,563"
"OLD O'BRIEN BANC SHARES, INC.","0001209172","1,324,832,564"
PERRY INVESTMENT COMPANY,"0001200290","1,324,832,572"
"SSB HOLDING CO., INC.","0001201729","1,324,832,574"
"BEULAH BANCORPORATION, INC.","0001919976","1,324,832,576"
"IOWA RIVER BANCORP, INC.","0003916317","1,324,832,577"
LUANA BANCORPORATION,"0001209211","1,324,832,578"
WHITNEY CORPORATION OF IOWA,"0001200571","1,324,832,579"
BENZ HOLDING COMPANY,"0001205428","1,324,832,581"
"STOCK YARDS BANCORP, INC.","0001249730","1,324,832,583"
"ROCKCASTLE BANCORP, INC.","0002262268","1,324,832,585"
"MORGANTOWN DEPOSIT BANCORP, INC.","0001119217","1,324,832,596"
MIDDLEFORK FINANCIAL GROUP INC.,"0001071539","1,324,832,602"
"FIRST COMMUNITY BANCORP, INC","0002151670","1,324,832,604"
"COMMUNITY FINANCIAL SERVICES, INC. EMPLOYEE STOCK OWNERSHIP PLAN","0002052067","1,324,832,607"
MIDDLEFORK FINANCIAL GROUP INC.,"0001071539","1,324,832,608"
COMMUNITY EXCHANGE BANCSHARES INC.,"0003923306","1,324,832,609"
"MONTICELLO BANKSHARES, INC.","0001097922","1,324,832,612"
"EDMONSON BANCSHARES, INC","0002155397","1,324,832,615"
LEWISBURG BANCSHARES CORPORATION,"0001250071","1,324,832,616"
MCCREARY BANCSHARES INC.,"0001071342","1,324,832,618"
"CLINTON BANCORP, INC.","0002266387","1,324,832,619"
"ZACHARY BANCSHARES, INC.","0001086056","1,324,832,621"
"CLINTON BANCSHARES, INC.","0001085460","1,324,832,622"
HOLMES COUNTY CAPITAL CORPORATION,"0001119057","1,324,832,633"
CITIZENS CORPORATION,"0001246681","1,324,832,636"
PEOPLES FINANCIAL CORPORATION,"0001133174","1,324,832,646"
WESTERN HOLDING COMPANY OF WOLF POINT,"0001126943","1,324,832,647"
FARMERS STATE FINANCIAL CORP.,"0002108227","1,324,832,648"
UNITED BANCORPORATION,"0001128264","1,324,832,654"
"FIRST NATIONAL BANCORP, INC.","0001134845","1,324,832,663"
OHIO VALLEY BANC CORP.,"0002012436","1,324,832,672"
PEOPLES BANCSHARES OF GAMBIER INC.,"0001427734","1,324,832,675"
"TUTTLE BANCSHARES, INC.","0001067372","1,324,832,685"
"F.S.B. PROPERTIES, INC.","0001055539","1,324,832,686"
CLEO BANCSHARES INC.,"0001052958","1,324,832,688"
"FIRST KEYES BANCSHARES, INC.","0001060711","1,324,832,699"
"CITIZENS BANKSHARES, INC.","0001067541","1,324,832,700"
VICI BANCORPORATION,"0001055605","1,324,832,701"
CHEYENNE BANKING CORPORATION,"0002180205","1,324,832,702"
