"DATA_LOAD_ID","RAW_SRC_PK","RAW_SRC_PK_TYP","RAW_FK","RAW_FK_TYP","PRIM_ADDR_TYP","PRIM_ADDR1","PRIM_CITY","PRIM_ST","PRIM_POSTAL_CODE"
ALL_FDIC_201904,"1,324,832,387",PR_RECORD_ID,"21",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"154 MAIN STREET",GLOUCESTER,MASSACHUSETTS,"1930"
ALL_FDIC_201904,"1,324,832,391",PR_RECORD_ID,"30",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"35 CHURCH STREET",WINCHESTER,MASSACHUSETTS,"1890"
ALL_FDIC_201904,"1,324,832,397",PR_RECORD_ID,"39",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"216 NORTH WALNUT AVENUE",DEMOPOLIS,ALABAMA,"36732"
ALL_FDIC_201904,"1,324,832,399",PR_RECORD_ID,"41",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"801 13TH STREET",PHENIX CITY,ALABAMA,"36867"
ALL_FDIC_201904,"1,324,832,400",PR_RECORD_ID,"42",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,U.S. HIGHWAY 231 NORTH & 12TH AVENUE,ARAB,ALABAMA,"35016"
ALL_FDIC_201904,"1,324,832,414",PR_RECORD_ID,"57",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,MAIN AND LIBERTY STREETS,BLOUNTSVILLE,ALABAMA,"35031"
ALL_FDIC_201904,"1,324,832,420",PR_RECORD_ID,"64",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"548 MAIN STREET",ROANOKE,ALABAMA,"36274"
ALL_FDIC_201904,"1,324,832,441",PR_RECORD_ID,"85",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"101 PUBLIC SQUARE",KINGSTON,ARKANSAS,"72742"
ALL_FDIC_201904,"1,324,832,452",PR_RECORD_ID,"96",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"200-244 DILLARD STREET",FORREST CITY,ARKANSAS,"72335"
ALL_FDIC_201904,"1,324,832,472",PR_RECORD_ID,"128",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"501 EAST LAS OLAS BOULEVARD",FORT LAUDERDALE,FLORIDA,"33310"
ALL_FDIC_201904,"1,324,832,483",PR_RECORD_ID,"140",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"1701 EAST BROADWAY",TAMPA,FLORIDA,"33675"
ALL_FDIC_201904,"1,324,832,502",PR_RECORD_ID,"160",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"250 WEST HANCOCK STREET",MILLEDGEVILLE,GEORGIA,"31061"
ALL_FDIC_201904,"1,324,832,528",PR_RECORD_ID,"190",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"101 SOUTH CRAWFORD STREET",THOMASVILLE,GEORGIA,"31792"
ALL_FDIC_201904,"1,324,832,553",PR_RECORD_ID,"223",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"1001 MAIN ST",MANSON,IOWA,"50563"
ALL_FDIC_201904,"1,324,832,559",PR_RECORD_ID,"230",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"1812 HIGHWAY BOULEVARD",SPENCER,IOWA,"51301"
ALL_FDIC_201904,"1,324,832,577",PR_RECORD_ID,"252",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"2206 SOUTH CENTER STREET",MARSHALLTOWN,IOWA,"50158"
ALL_FDIC_201904,"1,324,832,586",PR_RECORD_ID,"263",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"125 MAIN STREET",BURGIN,KENTUCKY,"40310"
ALL_FDIC_201904,"1,324,832,595",PR_RECORD_ID,"274",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"1918 CUMBERLAND AVENUE",MIDDLESBORO,KENTUCKY,"40965"
ALL_FDIC_201904,"1,324,832,599",PR_RECORD_ID,"278",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"2500 EASTPOINT PARKWAY",LOUISVILLE,KENTUCKY,"40223"
ALL_FDIC_201904,"1,324,832,608",PR_RECORD_ID,"288",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"215 MOUNTAIN PARKWAY SPUR",CAMPTON,KENTUCKY,"41301"
ALL_FDIC_201904,"1,324,832,614",PR_RECORD_ID,"295",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"101 NORTH MAIN STREET",VERSAILLES,KENTUCKY,"40383"
ALL_FDIC_201904,"1,324,832,644",PR_RECORD_ID,"338",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,MAIN STREET,FALKNER,MISSISSIPPI,"38629"
ALL_FDIC_201904,"1,324,832,649",PR_RECORD_ID,"343",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,MAIN STREET,SHELBY,MONTANA,"59474"
ALL_FDIC_201904,"1,324,832,652",PR_RECORD_ID,"348",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"205 BROADWAY AVENUE",CULBERTSON,MONTANA,"59218"
ALL_FDIC_201904,"1,324,832,662",PR_RECORD_ID,"362",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,MAIN STREET,POLSON,MONTANA,"59860"
ALL_FDIC_201904,"1,324,832,663",PR_RECORD_ID,"363",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"201 NORTH HIGGINS AVENUE",MISSOULA,MONTANA,"59802"
ALL_FDIC_201904,"1,324,832,664",PR_RECORD_ID,"364",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"321 CENTRAL AVENUE",FAIRFIELD,MONTANA,"59436"
ALL_FDIC_201904,"1,324,832,675",PR_RECORD_ID,"389",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"103 EAST WIGGIN STREET",GAMBIER,OHIO,"43022"
