DATA_LOAD_ID,RAW_SRC_PK,RAW_SRC_PK_TYP,RAW_FK,RAW_FK_TYP,PRIMARY_NAME,BUS_NM_TYP
ALL_FDIC_201904,"1,324,832,404",PR_RECORD_ID,47,FDIC_CERT_NUM,TRADERS & FARMERS BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,407",PR_RECORD_ID,50,FDIC_CERT_NUM,COMMUNITY SPIRIT BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,418",PR_RECORD_ID,61,FDIC_CERT_NUM,BANK OF FLORALA,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,445",PR_RECORD_ID,89,FDIC_CERT_NUM,SIGNATURE BANK OF ARKANSAS,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,447",PR_RECORD_ID,91,FDIC_CERT_NUM,ALLIED BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,453",PR_RECORD_ID,97,FDIC_CERT_NUM,ARKANSAS BANK AND TRUST COMPANY,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,455",PR_RECORD_ID,99,FDIC_CERT_NUM,BANK OF DELIGHT,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,457",PR_RECORD_ID,101,FDIC_CERT_NUM,BANK OF PRESCOTT,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,469",PR_RECORD_ID,125,FDIC_CERT_NUM,SOUTHEAST BANK OF WILDWOOD,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,472",PR_RECORD_ID,128,FDIC_CERT_NUM,CENTURY NATIONAL BANK OF BROWARD,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,478",PR_RECORD_ID,134,FDIC_CERT_NUM,THE PERKINS STATE BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,479",PR_RECORD_ID,135,FDIC_CERT_NUM,FLORIDA BANK OF VOLUSIA COUNTY,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,483",PR_RECORD_ID,140,FDIC_CERT_NUM,THE BROADWAY NATIONAL BANK OF TAMPA,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,484",PR_RECORD_ID,141,FDIC_CERT_NUM,SOUTHEAST NATIONAL BANK OF BRADENTON,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,486",PR_RECORD_ID,143,FDIC_CERT_NUM,CARIBANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,487",PR_RECORD_ID,144,FDIC_CERT_NUM,BARNETT BANK OF WEST FLORIDA,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,492",PR_RECORD_ID,149,FDIC_CERT_NUM,BANK OF HAZLEHURST,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,502",PR_RECORD_ID,160,FDIC_CERT_NUM,EXCHANGE BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,517",PR_RECORD_ID,178,FDIC_CERT_NUM,TALBOT STATE BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,520",PR_RECORD_ID,182,FDIC_CERT_NUM,THE PEOPLES BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,534",PR_RECORD_ID,197,FDIC_CERT_NUM,ALLIANCE BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,539",PR_RECORD_ID,208,FDIC_CERT_NUM,THE UNION STATE BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,545",PR_RECORD_ID,214,FDIC_CERT_NUM,WASHINGTON STATE BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,558",PR_RECORD_ID,229,FDIC_CERT_NUM,BRENTON STATE BANK OF JEFFERSON,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,566",PR_RECORD_ID,237,FDIC_CERT_NUM,"NORWEST BANK ATLANTIC, NATIONAL ASSOCIATION",PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,577",PR_RECORD_ID,252,FDIC_CERT_NUM,PINNACLE BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,590",PR_RECORD_ID,267,FDIC_CERT_NUM,KENTUCKY FARMERS BANK CORPORATION,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,596",PR_RECORD_ID,275,FDIC_CERT_NUM,"MORGANTOWN BANK & TRUST COMPANY, INCORPORATED",PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,600",PR_RECORD_ID,279,FDIC_CERT_NUM,KENTUCKY NATIONAL BANK OF PENDLETON COUNTY,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,601",PR_RECORD_ID,280,FDIC_CERT_NUM,THE BANK OF WHITESBURG,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,613",PR_RECORD_ID,293,FDIC_CERT_NUM,FARMERS NATIONAL BANK OF LONDON,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,616",PR_RECORD_ID,297,FDIC_CERT_NUM,LEWISBURG BANKING COMPANY,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,636",PR_RECORD_ID,324,FDIC_CERT_NUM,CITIZENS BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,640",PR_RECORD_ID,328,FDIC_CERT_NUM,SOUTHERN BANCORP BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,644",PR_RECORD_ID,338,FDIC_CERT_NUM,THE BANK OF FALKNER,PRIMARY_BANK_NAME
