"TRADE_NAME","TRADE_NAME_RECORD_ID","RECORD_ID"
BANK OF BRINKLEY,"5,555,123,456","1,324,832,445"
"BANK OF SOCIAL CIRCLE, A DIVISION OF BANK OF MADISON","5,555,123,457","1,324,832,491"
FARMERS ON RESERVE,"5,555,123,458","1,324,832,648"
MAUNFACTURERS & TRADERS TRUST COMPANY,"5,555,123,459","1,324,832,776"
CHASE,"5,555,123,460","1,324,832,793"
MAGNOLIA STATE BANK,"5,555,123,461","1,324,832,934"
MILLION PINES COMMUNITY BANK,"5,555,123,462","1,324,832,942"
CBTX,"5,555,123,463","1,324,833,203"
F&M BANK,"5,555,123,464","1,324,833,253"
"BANK OF MEMPHIS, A DIVISION OF BANK OF KIRKSVILLE","5,555,123,465","1,324,833,447"
PREMIER BANK TEXAS,"5,555,123,466","1,324,833,454"
CITIZENS STATE BANK OF RIDGWAY,"5,555,123,467","1,324,833,552"
"VIKING STATE BANK & TRUST, A DIVISION OF WAUKON STATE BANK","5,555,123,468","1,324,833,611"
BROTHERHOOD BANK & TRUST,"5,555,123,469","1,324,833,625"
PATHWAY FINANCIAL CENTRE,"5,555,123,470","1,324,833,713"
F&M BANK,"5,555,123,471","1,324,833,725"
"BANK OF JOLIET, BANK OF THERMOPOLIS","5,555,123,472","1,324,833,849"
AMEGY BANK OF TEXAS,"5,555,123,473","1,324,833,880"
CORTLAND BANK,"5,555,123,474","1,324,833,883"
CVNB,"5,555,123,475","1,324,834,111"
FNB,"5,555,123,476","1,324,834,204"
FIRST BANK TEXAS,"5,555,123,477","1,324,834,339"
"BANK OF SAN ANGELO, A BRANCH OF THE FIRST NATIONAL BANK OF BALLINGER","5,555,123,478","1,324,834,340"
"THE DUBLIN NATIONAL BANK DIVISION OF BANK OF HOUSTON, N.A.","5,555,123,479","1,324,834,414"
FIRST NATIONAL BANK - GATESVILLE,"5,555,123,480","1,324,834,425"
WOOD COUNTY NATIONAL BANK,"5,555,123,481","1,324,834,447"
CROCKETT BANK,"5,555,123,482","1,324,834,484"
THE MARFA NATIONAL BANK,"5,555,123,483","1,324,834,521"
TFNB YOUR BANK FOR LIFE,"5,555,123,484","1,324,834,527"
OZONA BANK,"5,555,123,485","1,324,834,566"
"SECURITY BANK, QUANAH, TX","5,555,123,486","1,324,834,587"
BANK OF AMERICA,"5,555,123,487","1,324,834,611"
FIRST FEDERAL BANK OF TUSCOLA,"5,555,123,488","1,324,834,661"
FIRST NATIONAL BANK OF MURRAYVILLE,"5,555,123,489","1,324,834,670"
HARDWARE BRANCH,"5,555,123,490","1,324,834,782"
NEW HOLLAND BANKING CENTER,"5,555,123,491","1,324,834,786"
BEAN CAPITAL BANKING CENTER,"5,555,123,492","1,324,834,827"
FIRST NATIONAL BANK & TRUST,"5,555,123,493","1,324,834,889"
"FIRST NATIONAL BANK OF NWA""A DIVISION OF FIRST NATIONAL BANK OF FORT SMITH""","5,555,123,494","1,324,834,890"
MIDFIRST PRIVATE BANK,"5,555,123,495","1,324,835,009"
FIRST NATIONAL BANK OF DAVIS,"5,555,123,496","1,324,835,102"
BANK OF ALBUQUERQUE,"5,555,123,497","1,324,835,137"
FIRST NATIONAL BANK OF GROVE,"5,555,123,498","1,324,835,140"
YNB MUSTANG,"5,555,123,499","1,324,835,150"
FIRST NATIONAL BANK OF CROWLEY,"5,555,123,500","1,324,835,180"
CAPITAL ONE BANK,"5,555,123,501","1,324,835,189"
"FIRST MERCHANTS PRIVATE WEALTH ADVISORS, A DIVISION OF FIRST MERCHANTS","5,555,123,502","1,324,835,242"
BANK OF MOLINE,"5,555,123,503","1,324,835,490"
FIRST BANK,"5,555,123,504","1,324,835,525"
SMITH COUNTY BANK,"5,555,123,505","1,324,835,542"
"FIRST NATIONAL 1870, A DIVISION OF SUNFLOWER BANK, N.A.","5,555,123,506","1,324,835,551"
THE BANK OF PAWHUSKA,"5,555,123,507","1,324,835,554"
CAPITAL BANK,"5,555,123,508","1,324,835,689"
PLATTE VALLEY COMPANIES,"5,555,123,509","1,324,836,053"
FIRST NATIONAL BANK,"5,555,123,510","1,324,836,061"
CUERO NATIONAL BANK,"5,555,123,511","1,324,836,127"
CAPTEX BANK,"5,555,123,512","1,324,836,148"
CALVIN B. TAYLOR BANK,"5,555,123,513","1,324,836,381"
WEST TENNESSEE BANK,"5,555,123,514","1,324,836,490"
CENTURY NATIONAL BANK/UNITED BANK NA,"5,555,123,515","1,324,836,826"
FNBP,"5,555,123,516","1,324,836,928"
NATIONAL BANK,"5,555,123,517","1,324,836,953"
KINDERHOOK BANK,"5,555,123,518","1,324,837,101"
"HALIFAX BANK, AN OPERATING DIVISION OF RIVERVIEW BANK","5,555,123,519","1,324,837,294"
JVB,"5,555,123,520","1,324,837,301"
FNB,"5,555,123,521","1,324,837,427"
BNY MELLON,"5,555,123,522","1,324,837,446"
BANKHAUS,"5,555,123,523","1,324,837,506"
CAMBRIDGE TRUST,"5,555,123,524","1,324,837,562"
"THE STATE BANK OF BARTLEY, A DIVISION OF STOCKMENS BANK","5,555,123,525","1,324,837,676"
LANDMANDS BANK,"5,555,123,526","1,324,837,786"
BANK OF ASHLAND,"5,555,123,527","1,324,837,855"
"FARMERS STATE BANK - SCOTTS HILL, TN","5,555,123,528","1,324,837,886"
BLUFF VIEW BANK - TREMPEALEAU BRANCH,"5,555,123,529","1,324,837,898"
LIBERTY BELL BANK A DIVISION OF THE BANK OF DELMARVA,"5,555,123,530","1,324,837,977"
NORTH SHORE BANK,"5,555,123,531","1,324,838,009"
THE HARVARD STATE BANK HEBRON BRANCH,"5,555,123,532","1,324,838,176"
FM BANK,"5,555,123,533","1,324,838,345"
"ALL AMERICAN MUSTANG BANK, TECUMSEH ELEMENTARY SCHOOL, TECUMSEH, KS","5,555,123,534","1,324,838,548"
COMPASS EXCHANGE ADVISORS,"5,555,123,535","1,324,838,576"
"MINERS BANK, A DIVISION OF MID PENN BANK","5,555,123,536","1,324,838,690"
SARATOGA COMMUNITY BANK,"5,555,123,538","1,324,838,764"
FARMERS & MERCHANTS STATE BANK OF CLARKFIELD,"5,555,123,539","1,324,838,887"
THE BANK OF HARDEMAN COUNTY,"5,555,123,540","1,324,838,965"
